id,name
1000,Alabama1
1001,Autauga1
1003,Baldwin1
1005,Barbour1
1007,Bibb1
1009,Blount1
1011,Bullock1
1013,Butler1
1015,Calhoun1
1017,Chambers1
1019,Cherokee1
1021,Chilton1
1023,Choctaw1
1025,Clarke1
1027,Clay1
1029,Cleburne1
1031,Coffee1
1033,Colbert1
1035,Conecuh1
1037,Coosa1
1039,Covington1
1041,Crenshaw1
1043,Cullman1
1045,Dale1
1047,Dallas1
1049,De Kalb1
1051,Elmore1
1053,Escambia1
1055,Etowah1
1057,Fayette1
1059,Franklin1
1061,Geneva1
1063,Greene1
1065,Hale1
1067,Henry1
1069,Houston1
1071,Jackson1
1073,Jefferson1
1075,Lamar1
1077,Lauderdale1
1079,Lawrence1
1081,Lee1
1083,Limestone1
1085,Lowndes1
1087,Macon1
1089,Madison1
1091,Marengo1
1093,Marion1
1095,Marshall1
1097,Mobile1
1099,Monroe1
1101,Montgomery1
1103,Morgan1
1105,Perry1
1107,Pickens1
1109,Pike1
1111,Randolph1
1113,Russell1
1115,St. Clair1
1117,Shelby1
1119,Sumter1
1121,Talladega1
1123,Tallapoosa1
1125,Tuscaloosa1
1127,Walker1
1129,Washington1
1131,Wilcox1
1133,Winston1
2000,Alaska1
2013,Aleutians East1
2016,Aleutians West1
2020,Anchorage1
2050,Bethel1
2060,Bristol Bay1
2068,Denali1
2070,Dillingham1
2090,Fairbanks North Star1
2100,Haines1
2110,Juneau1
2122,Kenai Peninsula1
2130,Ketchikan Gateway1
2150,Kodiak Island1
2164,Lake and Peninsula1
2170,Matanuska-Susitna1
2180,Nome1
2185,North Slope1
2188,Northwest Arctic1
2201,Prince of Wales-Outer Ketchikan1
2220,Sitka1
2232,Skagway-Hoonah-Angoon1
2240,Southeast Fairbanks1
2261,Valdez-Cordova1
2270,Wade Hampton1
2280,Wrangell-Petersburg1
2282,Yakutat1
2290,Yukon-Koyukuk1
4000,Arizona1
4001,Apache1
4003,Cochise1
4005,Coconino1
4007,Gila1
4009,Graham1
4011,Greenlee1
4012,La Paz1
4013,Maricopa1
4015,Mohave1
4017,Navajo1
4019,Pima1
4021,Pinal1
4023,Santa Cruz1
4025,Yavapai1
4027,Yuma1
5000,Arkansas1
5001,Arkansas2
5003,Ashley1
5005,Baxter1
5007,Benton1
5009,Boone1
5011,Bradley1
5013,Calhoun2
5015,Carroll1
5017,Chicot1
5019,Clark1
5021,Clay2
5023,Cleburne2
5025,Cleveland1
5027,Columbia1
5029,Conway1
5031,Craighead1
5033,Crawford1
5035,Crittenden1
5037,Cross1
5039,Dallas2
5041,Desha1
5043,Drew1
5045,Faulkner1
5047,Franklin2
5049,Fulton1
5051,Garland1
5053,Grant1
5055,Greene2
5057,Hempstead1
5059,Hot Spring1
5061,Howard1
5063,Independence1
5065,Izard1
5067,Jackson2
5069,Jefferson2
5071,Johnson1
5073,Lafayette1
5075,Lawrence2
5077,Lee2
5079,Lincoln1
5081,Little River1
5083,Logan1
5085,Lonoke1
5087,Madison2
5089,Marion2
5091,Miller1
5093,Mississippi1
5095,Monroe2
5097,Montgomery2
5099,Nevada1
5101,Newton1
5103,Ouachita1
5105,Perry2
5107,Phillips1
5109,Pike2
5111,Poinsett1
5113,Polk1
5115,Pope1
5117,Prairie1
5119,Pulaski1
5121,Randolph2
5123,St. Francis1
5125,Saline1
5127,Scott1
5129,Searcy1
5131,Sebastian1
5133,Sevier1
5135,Sharp1
5137,Stone1
5139,Union1
5141,Van Buren1
5143,Washington2
5145,White1
5147,Woodruff1
5149,Yell1
6000,California1
6001,Alameda1
6003,Alpine1
6005,Amador1
6007,Butte1
6009,Calaveras1
6011,Colusa1
6013,Contra Costa1
6015,Del Norte1
6017,El Dorado1
6019,Fresno1
6021,Glenn1
6023,Humboldt1
6025,Imperial1
6027,Inyo1
6029,Kern1
6031,Kings1
6033,Lake1
6035,Lassen1
6037,Los Angeles1
6039,Madera1
6041,Marin1
6043,Mariposa1
6045,Mendocino1
6047,Merced1
6049,Modoc1
6051,Mono1
6053,Monterey1
6055,Napa1
6057,Nevada2
6059,Orange1
6061,Placer1
6063,Plumas1
6065,Riverside1
6067,Sacramento1
6069,San Benito1
6071,San Bernardino1
6073,San Diego1
6075,San Francisco1
6077,San Joaquin1
6079,San Luis Obispo1
6081,San Mateo1
6083,Santa Barbara1
6085,Santa Clara1
6087,Santa Cruz2
6089,Shasta1
6091,Sierra1
6093,Siskiyou1
6095,Solano1
6097,Sonoma1
6099,Stanislaus1
6101,Sutter1
6103,Tehama1
6105,Trinity1
6107,Tulare1
6109,Tuolumne1
6111,Ventura1
6113,Yolo1
6115,Yuba1
8000,Colorado1
8001,Adams1
8003,Alamosa1
8005,Arapahoe1
8007,Archuleta1
8009,Baca1
8011,Bent1
8013,Boulder1
8015,Chaffee1
8017,Cheyenne1
8019,Clear Creek1
8021,Conejos1
8023,Costilla1
8025,Crowley1
8027,Custer1
8029,Delta1
8031,Denver1
8033,Dolores1
8035,Douglas1
8037,Eagle1
8039,Elbert1
8041,El Paso1
8043,Fremont1
8045,Garfield1
8047,Gilpin1
8049,Grand1
8051,Gunnison1
8053,Hinsdale1
8055,Huerfano1
8057,Jackson3
8059,Jefferson3
8061,Kiowa1
8063,Kit Carson1
8065,Lake2
8067,La Plata1
8069,Larimer1
8071,Las Animas1
8073,Lincoln2
8075,Logan2
8077,Mesa1
8079,Mineral1
8081,Moffat1
8083,Montezuma1
8085,Montrose1
8087,Morgan2
8089,Otero1
8091,Ouray1
8093,Park1
8095,Phillips2
8097,Pitkin1
8099,Prowers1
8101,Pueblo1
8103,Rio Blanco1
8105,Rio Grande1
8107,Routt1
8109,Saguache1
8111,San Juan1
8113,San Miguel1
8115,Sedgwick1
8117,Summit1
8119,Teller1
8121,Washington3
8123,Weld1
8125,Yuma2
9000,Connecticut1
9001,Fairfield1
9003,Hartford1
9005,Litchfield1
9007,Middlesex1
9009,New Haven1
9011,New London1
9013,Tolland1
9015,Windham1
10000,Delaware1
10001,Kent1
10003,New Castle1
10005,Sussex1
11000,District of Columbia1
11001,District of Columbia2
12000,Florida1
12001,Alachua1
12003,Baker1
12005,Bay1
12007,Bradford1
12009,Brevard1
12011,Broward1
12013,Calhoun3
12015,Charlotte1
12017,Citrus1
12019,Clay3
12021,Collier1
12023,Columbia2
12025,Dade1
12027,De Soto1
12029,Dixie1
12031,Duval1
12033,Escambia2
12035,Flagler1
12037,Franklin3
12039,Gadsden1
12041,Gilchrist1
12043,Glades1
12045,Gulf1
12047,Hamilton1
12049,Hardee1
12051,Hendry1
12053,Hernando1
12055,Highlands1
12057,Hillsborough1
12059,Holmes1
12061,Indian River1
12063,Jackson4
12065,Jefferson4
12067,Lafayette2
12069,Lake3
12071,Lee3
12073,Leon1
12075,Levy1
12077,Liberty1
12079,Madison3
12081,Manatee1
12083,Marion3
12085,Martin1
12087,Monroe3
12089,Nassau1
12091,Okaloosa1
12093,Okeechobee1
12095,Orange2
12097,Osceola1
12099,Palm Beach1
12101,Pasco1
12103,Pinellas1
12105,Polk2
12107,Putnam1
12109,St. Johns1
12111,St. Lucie1
12113,Santa Rosa1
12115,Sarasota1
12117,Seminole1
12119,Sumter2
12121,Suwannee1
12123,Taylor1
12125,Union2
12127,Volusia1
12129,Wakulla1
12131,Walton1
12133,Washington4
13000,Georgia1
13001,Appling1
13003,Atkinson1
13005,Bacon1
13007,Baker2
13009,Baldwin2
13011,Banks1
13013,Barrow1
13015,Bartow1
13017,Ben Hill1
